date;Energy;Beverages;Oils & Meals;Grains;Other Food;Timber;Other Raw Mat.;Fertilizers;Metals  & Minerals;Base Metals (ex. iron ore);Precious Metals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.1960;2,13;25,44;23,17;23,58;16,44;16,24;29,00;12,86;12,90;14,07;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.1960;2,13;25,14;22,48;23,43;16,49;16,24;29,05;12,86;12,93;14,11;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.1960;2,13;24,64;22,18;23,75;17,15;16,24;29,43;12,86;12,72;13,86;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.1960;2,13;24,86;22,41;23,49;17,64;16,24;29,48;12,86;12,93;14,12;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.05.1960;2,13;24,84;22,05;23,85;17,32;16,24;30,33;12,86;12,73;13,87;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.06.1960;2,13;24,74;21,69;23,43;16,86;16,24;29,98;12,86;12,75;13,90;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.07.1960;2,13;24,85;21,75;23,28;17,37;16,24;28,64;12,86;12,81;13,96;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.08.1960;2,13;24,82;22,09;23,80;17,28;16,24;27,76;12,86;12,65;13,77;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.09.1960;2,13;24,72;22,19;24,14;17,58;16,24;27,93;12,86;12,50;13,59;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.10.1960;2,13;24,79;21,46;23,24;16,18;16,24;27,44;12,86;12,32;13,37;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.11.1960;2,13;24,51;21,39;22,38;15,33;16,24;26,70;12,86;12,47;13,55;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.12.1960;2,13;23,81;22,21;22,76;16,25;16,24;26,58;12,86;12,41;13,48;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.1961;2,08;22,89;23,49;23,57;15,71;16,59;25,17;12,90;12,21;13,29;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.1961;2,08;22,94;25,31;23,59;15,60;16,59;25,02;12,90;12,29;13,39;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.1961;2,08;22,49;26,19;23,97;16,96;16,59;25,49;12,90;12,33;13,44;3,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
